slug,title,year,rating
scary-movie-2026,"Scary Movie",2026,0.5
disclosure-day,"Disclosure Day",2026,2
ladies-first-2026,"Ladies First",2026,1
kylie-2026,"Kylie",2026,3.5
passenger-2026,"Passenger",2026,1
masters-of-the-universe-2026,"Masters of the Universe",2026,2.5
star-wars-the-mandalorian-and-grogu,"Star Wars: The Mandalorian and Grogu",2026,2.5
the-punisher-one-last-kill,"The Punisher: One Last Kill",2026,3
backrooms-2026,"Backrooms",2026,3.5
mortal-kombat-ii,"Mortal Kombat II",2026,2
apex-2026,"Apex",2026,3
hulk-hogan-real-american-2026,"Hulk Hogan: Real American",2026,2.5
the-devil-wears-prada-2,"The Devil Wears Prada 2",2026,2
the-sheep-detectives,"The Sheep Detectives",2026,3.5
balls-up-2026,"Balls Up",2026,1.5
michael-2026,"Michael",2026,2
thrash-2026,"Thrash",2026,2.5
mother-mary-2026,"Mother Mary",2026,2
trust-me-the-false-prophet-2026,"Trust Me: The False Prophet",2026,2.5
untold-chess-mates,"Untold: Chess Mates",2026,2.5
lee-cronins-the-mummy,"Lee Cronin's The Mummy",2026,4
outcome,"Outcome",2026,1.5
the-super-mario-galaxy-movie,"The Super Mario Galaxy Movie",2026,1.5
the-truth-and-tragedy-of-moriah-wilson,"The Truth and Tragedy of Moriah Wilson",2026,3
the-drama,"The Drama",2026,3
they-will-kill-you,"They Will Kill You",2026,3
ready-or-not-2-here-i-come,"Ready or Not 2: Here I Come",2026,2.5
pretty-lethal,"Pretty Lethal",2026,3
barbara-becoming-shirin-david,"Barbara - Becoming Shirin David",2026,2
project-hail-mary,"Project Hail Mary",2026,3
the-bride-2026,"The Bride!",2026,2
scream-7,"Scream 7",2026,1
hoppers,"Hoppers",2026,3
rose-2026,"Rose",2026,3.5
war-machine-2026,"War Machine",2026,3
goat-2026,"GOAT",2026,3
iron-lung,"Iron Lung",2026,3
crime-101,"Crime 101",2026,3.5
shelter-2026,"Shelter",2026,2.5
wuthering-heights-2026,"Wuthering Heights",2026,0.5
the-wrecking-crew-2026,"The Wrecking Crew",2026,2.5
take-that,"Take That",2026,3.5
cold-storage-2026,"Cold Storage",2026,2.5
send-help,"Send Help",2026,3.5
return-to-silent-hill,"Return to Silent Hill",2026,1
kidnapped-elizabeth-smart,"Kidnapped: Elizabeth Smart",2026,3
mercy-2026,"Mercy",2026,2
the-rip-2026,"The Rip",2026,2.5
28-years-later-the-bone-temple,"28 Years Later: The Bone Temple",2026,3
greenland-2-migration,"Greenland 2: Migration",2026,2
dave-chappelle-the-unstoppable,"Dave Chappelle: The Unstoppable...",2025,2
anaconda-2025,"Anaconda",2025,1.5
im-chevy-chase-and-youre-not,"I'm Chevy Chase and You're Not",2025,3
five-nights-at-freddys-2,"Five Nights at Freddy's 2",2025,1.5
sean-combs-the-reckoning,"Sean Combs: The Reckoning",2025,3.5
avatar-fire-and-ash,"Avatar: Fire and Ash",2025,2.5
keeper-2025,"Keeper",2025,3
being-eddie,"Being Eddie",2025,3
wicked-for-good,"Wicked: For Good",2025,2.5
the-running-man-2025,"The Running Man",2025,2.5
now-you-see-me-now-you-dont-2025,"Now You See Me: Now You Don't",2025,1.5
predator-badlands,"Predator: Badlands",2025,2.5
babo-the-haftbefehl-story,"Babo: The Haftbefehl Story",2025,3
is-this-thing-on-2025,"Is This Thing On?",2025,4
the-talented-mr-f,"The Talented Mr. F",2025,2.5
marty-supreme,"Marty Supreme",2025,4.5
tron-ares,"TRON: Ares",2025,1.5
monster-the-ed-gein-story,"Monster: The Ed Gein Story",2025,2
desert-warrior-2025,"Desert Warrior",2025,2
whistle-2025-1,"Whistle",2025,2.5
