Const,Your Rating,Date Rated,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt21333984,9,2026-06-19,"Zwei wie Pech & Schwafel","Zwei wie Pech & Schwafel",https://www.imdb.com/title/tt21333984,Podcast-Serie,9.6,,2021,"Talkshow",38,"2021-02-04",
tt34956443,7,2026-06-17,"Ne Zha 2","Nezha: Mo tong nao hai",https://www.imdb.com/title/tt34956443,Film,7.9,144,2025,"Animation, Drama, Fantasy, Action, Abenteuer, Komödie",24757,"2025-01-29","Yu Yang"
tt0107818,8,2026-06-16,"Philadelphia","Philadelphia",https://www.imdb.com/title/tt0107818,Film,7.7,125,1993,"Drama",274685,"1994-02-24","Jonathan Demme"
tt0163988,6,2026-06-15,"Bringing Out the Dead - Nächte der Erinnerung","Bringing Out the Dead",https://www.imdb.com/title/tt0163988,Film,6.9,121,1999,"Thriller, Drama",81443,"2000-05-04","Martin Scorsese"
tt0091064,7,2026-06-14,"Die Fliege","The Fly",https://www.imdb.com/title/tt0091064,Film,7.6,96,1986,"Horror, Drama, Science-Fiction",225095,"1987-01-08","David Cronenberg"
tt0272152,7,2026-06-14,"K-PAX - Alles ist möglich","K-PAX",https://www.imdb.com/title/tt0272152,Film,7.4,120,2001,"Mystery, Science-Fiction, Drama",203120,"2002-10-17","Iain Softley"
tt1220719,7,2026-06-11,"Ip Man","Ip Man",https://www.imdb.com/title/tt1220719,Film,8.0,106,2008,"Action, Drama, Biografie, Kriegsfilm",243899,"2008-12-12","Wilson Yip"
tt2265171,9,2026-06-11,"The Raid 2","Serbuan maut 2: Berandal",https://www.imdb.com/title/tt2265171,Film,7.9,150,2014,"Action, Thriller, Krimi",139328,"2014-07-24","Gareth Evans"
tt1899353,8,2026-06-11,"The Raid","Serbuan maut",https://www.imdb.com/title/tt1899353,Film,7.6,101,2011,"Action, Thriller, Krimi",230890,"2012-07-12","Gareth Evans"
tt34819091,6,2026-06-11,"The Testament of Ann Lee","The Testament of Ann Lee",https://www.imdb.com/title/tt34819091,Film,6.5,136,2025,"Musical, Drama, Geschichte, Biografie",9184,"2026-03-12","Mona Fastvold"
