slug,title,year,rating
the-death-of-robin-hood,"The Death of Robin Hood",2026,3.5
poldi,"Poldi",2026,2.5
scary-movie-2026,"Scary Movie",2026,3
disclosure-day,"Disclosure Day",2026,2.5
ladies-first-2026,"Ladies First",2026,1.5
passenger-2026,"Passenger",2026,1.5
masters-of-the-universe-2026,"Masters of the Universe",2026,2.5
propeller-one-way-night-coach,"Propeller One-Way Night Coach",2026,2.5
star-wars-the-mandalorian-and-grogu,"Star Wars: The Mandalorian and Grogu",2026,2.5
in-the-grey-2026,"In the Grey",2026,2.5
the-punisher-one-last-kill,"The Punisher: One Last Kill",2026,4
backrooms-2026,"Backrooms",2026,4
mortal-kombat-ii,"Mortal Kombat II",2026,2
apex-2026,"Apex",2026,2.5
the-devil-wears-prada-2,"The Devil Wears Prada 2",2026,2.5
the-sheep-detectives,"The Sheep Detectives",2026,3.5
balls-up-2026,"Balls Up",2026,1
michael-2026,"Michael",2026,2
thrash-2026,"Thrash",2026,2
lee-cronins-the-mummy,"Lee Cronin's The Mummy",2026,3.5
outcome,"Outcome",2026,2
eat-pray-bark,"Eat Pray Bark",2026,1
the-super-mario-galaxy-movie,"The Super Mario Galaxy Movie",2026,2
horst-schlammer-sucht-das-gluck,"Horst Schlämmer sucht das Glück",2026,1.5
the-drama,"The Drama",2026,3
they-will-kill-you,"They Will Kill You",2026,3.5
over-your-dead-body-2026,"Over Your Dead Body",2026,2.5
ready-or-not-2-here-i-come,"Ready or Not 2: Here I Come",2026,3
pretty-lethal,"Pretty Lethal",2026,2
barbara-becoming-shirin-david,"Barbara - Becoming Shirin David",2026,2
reminders-of-him,"Reminders of Him",2026,2
project-hail-mary,"Project Hail Mary",2026,4.5
peaky-blinders-the-immortal-man,"Peaky Blinders: The Immortal Man",2026,3.5
dtf-st-louis,"DTF St. Louis",2026,4
the-bride-2026,"The Bride!",2026,1.5
scream-7,"Scream 7",2026,1.5
hoppers,"Hoppers",2026,3
the-bluff-2026,"The Bluff",2026,2
truly-naked,"Truly Naked",2026,3
allegro-pastell,"Allegro Pastell",2026,2.5
war-machine-2026,"War Machine",2026,1.5
shelter-2026,"Shelter",2026,2.5
crime-101,"Crime 101",2026,3
wuthering-heights-2026,"Wuthering Heights",2026,3.5
the-wrecking-crew-2026,"The Wrecking Crew",2026,2
ach-diese-lucke-diese-entsetzliche-lucke,"Ach, diese Lücke, diese entsetzliche Lücke",2026,3.5
take-that,"Take That",2026,3
wonder-man-2026,"Wonder Man",2026,3.5
cold-storage-2026,"Cold Storage",2026,3
return-to-silent-hill,"Return to Silent Hill",2026,1.5
send-help,"Send Help",2026,4
mercy-2026,"Mercy",2026,2
the-holy-grill,"The Holy Grill",2026,2.5
the-rip-2026,"The Rip",2026,3
28-years-later-the-bone-temple,"28 Years Later: The Bone Temple",2026,3
greenland-2-migration,"Greenland 2: Migration",2026,2
anaconda-2025,"Anaconda",2025,2
five-nights-at-freddys-2,"Five Nights at Freddy's 2",2025,1
the-housemaid-2025,"The Housemaid",2025,1.5
sean-combs-the-reckoning,"Sean Combs: The Reckoning",2025,4
avatar-fire-and-ash,"Avatar: Fire and Ash",2025,2.5
stromberg-wieder-alles-wie-immer,"Stromberg - Wieder alles wie immer",2025,3
troll-2-2025,"Troll 2",2025,1.5
zootopia-2,"Zootopia 2",2025,4
being-eddie,"Being Eddie",2025,3
wicked-for-good,"Wicked: For Good",2025,3.5
playdate-2025,"Playdate",2025,1.5
the-running-man-2025,"The Running Man",2025,3
now-you-see-me-now-you-dont-2025,"Now You See Me: Now You Don't",2025,2
predator-badlands,"Predator: Badlands",2025,3.5
babo-the-haftbefehl-story,"Babo: The Haftbefehl Story",2025,3.5
the-woman-in-cabin-10,"The Woman in Cabin 10",2025,2.5
marty-supreme,"Marty Supreme",2025,4.5
tron-ares,"TRON: Ares",2025,1.5
monster-the-ed-gein-story,"Monster: The Ed Gein Story",2025,3.5
play-dirty-2025-1,"Play Dirty",2025,1.5
momo-2025,"Momo",2025,2.5
whistle-2025-1,"Whistle",2025,2
good-luck-have-fun-dont-die,"Good Luck, Have Fun, Don't Die",2025,3.5
marvel-zombies,"Marvel Zombies",2025,3
dolly-2025,"Dolly",2025,2
silent-night-deadly-night-2025,"Silent Night, Deadly Night",2025,3.5
sisu-road-to-revenge,"Sisu: Road to Revenge",2025,4
black-phone-2,"Black Phone 2",2025,2.5
primate-2025,"Primate",2025,2.5
black-rabbit-2025,"Black Rabbit",2025,3.5
the-tank-2025,"The Tank",2025,4.5
a-big-bold-beautiful-journey,"A Big Bold Beautiful Journey",2025,2.5
aka-charlie-sheen,"aka Charlie Sheen",2025,3.5
dust-bunny,"Dust Bunny",2025,3
swiped-2025,"Swiped",2025,3
one-battle-after-another,"One Battle After Another",2025,5
the-long-walk-2025,"The Long Walk",2025,3
i-swear,"I Swear",2025,4.5
the-furious,"The Furious",2025,4.5
nuremberg-2025,"Nuremberg",2025,2.5
rental-family-2025,"Rental Family",2025,4
obsession-2025,"Obsession",2025,4
wake-up-dead-man,"Wake Up Dead Man",2025,4
roofman,"Roofman",2025,3.5
good-fortune-2025,"Good Fortune",2025,3.5
the-good-boy-2025,"Heel",2025,3
steve-2025,"Steve",2025,2.5
the-lost-bus,"The Lost Bus",2025,4
the-voice-of-hind-rajab,"The Voice of Hind Rajab",2025,4
a-house-of-dynamite,"A House of Dynamite",2025,4
the-conjuring-last-rites,"The Conjuring: Last Rites",2025,3
the-smashing-machine-2025,"The Smashing Machine",2025,3
father-mother-sister-brother,"Father Mother Sister Brother",2025,2.5
frankenstein-2025,"Frankenstein",2025,4
no-other-choice-2025,"No Other Choice",2025,3.5
hamnet,"Hamnet",2025,4
the-last-viking-2025,"The Last Viking",2025,3.5
springsteen-deliver-me-from-nowhere,"Springsteen: Deliver Me from Nowhere",2025,3.5
after-the-hunt-2025,"After the Hunt",2025,2.5
ballad-of-a-small-player,"Ballad of a Small Player",2025,2
jay-kelly,"Jay Kelly",2025,2.5
bugonia,"Bugonia",2025,3
chabos,"Chabos",2025,4.5
the-thursday-murder-club,"The Thursday Murder Club",2025,3.5
the-roses-2025,"The Roses",2025,4
night-always-comes,"Night Always Comes",2025,2.5
manitous-canoe,"Manitou's Canoe",2025,3.5
nobody-2,"Nobody 2",2025,2.5
dead-of-winter-2025,"Dead of Winter",2025,2.5
caught-stealing,"Caught Stealing",2025,3.5
vicious-2025,"Vicious",2025,1.5
weapons-2025,"Weapons",2025,4.5
dracula-2025,"Dracula",2025,2.5
war-of-the-worlds-2025,"War of the Worlds",2025,1
the-bad-guys-2,"The Bad Guys 2",2025,3.5
the-naked-gun,"The Naked Gun",2025,2
happy-gilmore-2,"Happy Gilmore 2",2025,2.5
the-fantastic-4-first-steps,"The Fantastic 4: First Steps",2025,4
wall-to-wall,"Wall to Wall",2025,2.5
i-know-what-you-did-last-summer-2025,"I Know What You Did Last Summer",2025,2
almost-brothers-2025,"Almost Brothers",2025,2
brick-2025,"Brick",2025,1
the-old-guard-2,"The Old Guard 2",2025,1.5
shark-whisperer,"Shark Whisperer",2025,2.5
heads-of-state,"Heads of State",2025,3
